Status,ID,Application_order,Previous_qualification_grade,Admission_grade,Age_at_enrollment,Curricular_units_credited,Curricular_units_approved,Curricular_units_enrolled,Curricular_units_evaluations,Curricular_units_without_evaluations,Curricular_units_grade,Marital_status,Application_mode,Course,Daytime_evening_attendance,Previous_qualification,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder
Enrolled,27,1,138.0,131.0,18,0,9,10,16,2,12.833333333333332,Single,General Continent,Health and Care,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,28,1,135.0,122.1,20,0,10,10,12,0,12.166666666666668,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Enrolled,29,2,127.0,118.8,19,0,12,14,16,0,13.325,Single,General Continent,Health and Care,1,02,03,03,Professionals and Specialists,Armed Forces Professions,0,1,1,0
Enrolled,30,1,150.0,150.0,21,0,10,12,32,0,11.214285714285715,Single,Other,Agriculture and Environtment,1,03,05,06,Administrative Staff,Professionals and Specialists,0,1,1,0
Graduate,31,1,125.0,130.0,20,2,10,12,16,0,13.116666666666667,Single,Transfer and Change,Design and Creativity,1,02,07,03,Professionals and Specialists,Professionals and Specialists,0,1,1,0
Enrolled,32,1,143.0,138.8,18,0,5,10,17,0,12.416666666666668,Single,General Continent,Social Services and Management,1,02,02,02,Administrative Staff,Agricultural and Forestry Workers,0,0,1,0
Graduate,33,1,138.0,134.5,19,0,12,12,14,0,13.520833333333332,Single,General Continent,Social Services and Management,0,02,02,02,Unskilled Workers,Service Workers and Sellers,0,1,0,0
Graduate,34,1,130.0,131.4,34,0,10,10,15,0,12.914285714285715,Single,General Continent,Social Services and Management,0,02,04,01,Intermediate Level Technicians and Professions,Unskilled Workers,0,1,1,0
Dropout,35,1,130.0,102.5,37,0,1,14,14,0,5.0,Single,Other,Technology and Engineering,1,02,01,01,Unskilled Workers,Agricultural and Forestry Workers,1,0,1,0
Dropout,36,1,133.1,128.8,43,0,0,10,0,0,0.0,Single,Other,Technology and Engineering,1,01,00,01,Students,Students,0,1,1,0
Dropout,37,1,140.0,122.9,55,0,3,10,18,2,11.0,Single,Transfer and Change,Social Services and Management,1,02,01,01,Agricultural and Forestry Workers,Agricultural and Forestry Workers,0,1,0,0
Graduate,38,1,120.0,113.9,39,0,10,10,13,0,11.3,In Relationship,Other,Social Services and Management,0,02,02,02,Unskilled Workers,Intermediate Level Technicians and Professions,0,1,0,0
Dropout,39,1,120.0,120.0,20,3,6,12,24,0,11.833333333333332,Single,Other,Agriculture and Environtment,1,03,05,05,Intermediate Level Technicians and Professions,Agricultural and Forestry Workers,1,0,0,0
Dropout,40,5,126.0,121.1,18,0,4,11,11,0,6.375,Single,General Continent,Social Services and Management,1,02,03,03,Professionals and Specialists,Professionals and Specialists,1,1,0,0
Graduate,41,2,133.0,120.4,22,0,10,10,10,0,15.3,Single,General Continent,Social Services and Management,1,02,03,02,Professionals and Specialists,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,42,6,103.0,100.6,22,0,12,15,18,0,14.135428571428571,Single,General Continent,Health and Care,1,02,02,03,Professionals and Specialists,Professionals and Specialists,0,1,0,0
Dropout,43,1,120.0,121.4,20,0,9,12,14,0,13.4,Single,General Continent,Social Services and Management,1,02,02,01,Service Workers and Sellers,Service Workers and Sellers,0,0,0,0
Dropout,44,1,133.1,109.7,29,0,0,10,0,0,0.0,Single,Other,Social Services and Management,0,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Enrolled,45,1,154.0,134.1,24,0,5,10,20,1,12.916666666666668,Single,General Continent,Social Services and Management,0,02,01,01,Administrative Staff,Service Workers and Sellers,0,1,0,0
Graduate,46,2,130.0,127.6,18,0,11,12,14,0,12.433333333333334,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,47,6,132.0,132.4,22,0,13,15,17,0,13.644047619047619,Single,General Continent,Health and Care,1,02,01,02,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,48,1,130.0,133.4,21,5,12,12,13,0,12.392857142857142,Single,Other,Social Services and Management,0,03,02,02,Unskilled Workers,Unskilled Workers,0,1,0,1
Graduate,49,1,139.0,126.1,19,0,11,12,14,0,12.583333333333334,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,1
Graduate,50,1,130.0,113.5,24,0,12,12,12,0,13.916666666666666,Single,Other,Agriculture and Environtment,1,02,02,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Enrolled,51,1,139.0,121.3,19,0,12,16,20,0,11.833333333333334,Single,General Continent,Health and Care,1,02,01,01,Agricultural and Forestry Workers,Agricultural and Forestry Workers,0,1,0,1
Enrolled,52,1,127.0,121.8,20,0,7,12,23,0,12.5,Single,General Continent,Social Services and Management,1,02,02,02,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,53,3,167.0,159.3,19,0,10,10,12,0,15.257142857142856,Single,General Continent,Agriculture and Environtment,1,02,01,01,Other,Other,0,1,0,0
Dropout,54,1,130.0,120.0,27,0,10,10,22,0,10.8,Single,Other,Social Services and Management,0,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,55,1,130.0,129.1,18,0,15,15,19,0,13.319722222222222,Single,General Continent,Health and Care,1,02,02,02,Service Workers and Sellers,Service Workers and Sellers,0,1,0,0
Dropout,56,1,130.0,130.0,39,0,0,12,16,0,0.0,In Relationship,Other,Agriculture and Environtment,1,03,02,03,Administrative Staff,Intermediate Level Technicians and Professions,0,1,0,0
Dropout,57,1,129.0,155.3,27,5,15,17,22,0,12.95,Single,Other,Agriculture and Environtment,1,03,03,03,Professionals and Specialists,Professionals and Specialists,0,1,0,0
Graduate,58,1,141.0,139.8,18,0,16,16,16,0,14.935,Single,General Continent,Health and Care,1,02,01,01,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,0,1,0,0
Enrolled,59,3,125.0,115.2,18,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,01,01,Administrative Staff,Unskilled Workers,0,1,0,0
Graduate,60,2,125.0,114.9,18,0,13,15,20,0,12.677380952380952,Single,General Continent,Health and Care,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,61,1,130.0,131.9,21,5,12,12,14,0,12.0,Single,Other,Social Services and Management,1,03,02,02,Unskilled Workers,Unskilled Workers,0,1,0,1
Enrolled,62,3,133.0,126.0,19,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,01,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,1,1
Enrolled,63,1,127.0,130.2,19,0,6,12,14,0,10.7,Single,General Continent,Design and Creativity,1,02,02,02,Intermediate Level Technicians and Professions,Administrative Staff,0,1,1,0
Enrolled,64,1,116.0,120.9,24,0,0,12,12,0,0.0,Single,Transfer and Change,Design and Creativity,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,1,0
Dropout,65,1,133.1,126.0,29,3,10,15,20,0,11.45,In Relationship,Transfer and Change,Health and Care,1,01,02,02,Service Workers and Sellers,Service Workers and Sellers,0,1,1,0
Graduate,66,3,139.0,128.2,19,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Service Workers and Sellers,Intermediate Level Technicians and Professions,0,1,1,1
Graduate,67,1,130.0,130.0,23,0,12,12,15,0,12.5,Single,Other,Agriculture and Environtment,1,03,02,01,Unskilled Workers,Unskilled Workers,0,1,1,0
Dropout,68,3,125.0,120.1,19,0,9,10,18,3,10.975,Single,General Continent,Social Services and Management,1,02,02,01,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",1,1,1,0
Enrolled,69,1,160.0,100.0,26,0,11,12,15,0,11.4,Single,Other,Agriculture and Environtment,1,02,02,01,"Skilled Workers in Industry, Construction, and Craftsmen",Armed Forces Professions,0,1,1,0
Enrolled,70,1,148.0,134.0,18,0,0,10,14,0,0.0,Single,General Continent,Social Services and Management,1,02,01,01,Service Workers and Sellers,Service Workers and Sellers,0,1,1,0
Graduate,71,1,150.0,130.8,24,0,15,15,16,0,12.8625,Single,General Continent,Health and Care,1,02,01,02,Installation and Machine Operators and Assembly Workers,Administrative Staff,0,1,1,0
Dropout,72,1,141.0,135.8,19,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Service Workers and Sellers,Armed Forces Professions,0,1,1,0
Dropout,73,4,118.0,111.7,18,0,4,12,24,0,11.833333333333332,Single,General Continent,Agriculture and Environtment,1,02,01,01,Service Workers and Sellers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,1,0
Graduate,74,2,142.0,132.9,18,0,9,12,19,0,12.333333333333334,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,1,0
Dropout,75,3,120.0,115.5,18,0,6,10,19,0,10.595238095238095,Single,General Continent,Social Services and Management,1,02,02,02,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",1,1,1,0
Dropout,76,4,106.0,106.0,21,0,5,12,19,0,10.75,Single,General Continent,Agriculture and Environtment,1,02,02,01,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,1,1
Graduate,77,4,121.0,120.3,19,0,12,12,12,0,13.5,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Installation and Machine Operators and Assembly Workers,1,1,1,1
Graduate,78,4,150.0,130.8,22,0,15,15,16,0,14.94920634920635,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,1,1
Graduate,79,1,120.0,117.0,33,0,12,12,14,0,11.833333333333332,In Relationship,Other,Social Services and Management,0,02,01,01,Unskilled Workers,Agricultural and Forestry Workers,0,1,1,0
Dropout,80,6,114.0,110.2,20,0,10,12,15,0,12.2,Single,General Continent,Basic Education,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,1,0
Dropout,81,1,140.0,155.7,35,0,0,6,1,1,0.0,Single,Other,Social Services and Management,0,04,03,03,Professionals and Specialists,Professionals and Specialists,0,1,1,0
Dropout,82,1,160.0,180.4,24,13,16,24,31,0,12.733333333333334,Single,Other,Agriculture and Environtment,1,05,03,03,Administrative Staff,Professionals and Specialists,1,1,1,0
Enrolled,83,1,120.0,125.5,18,0,8,10,14,0,11.666666666666668,Single,General Continent,Agriculture and Environtment,1,02,02,02,Administrative Staff,Administrative Staff,0,1,1,0
Graduate,84,1,130.0,110.0,33,0,11,12,18,0,11.0,In Relationship,Other,Social Services and Management,0,02,01,01,Unskilled Workers,Agricultural and Forestry Workers,0,1,0,0
Graduate,85,1,160.0,161.0,22,0,14,16,16,0,13.08,Single,Transfer and Change,Health and Care,1,02,01,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,86,1,120.0,100.0,25,0,9,10,14,0,11.05,Single,Other,Social Services and Management,1,02,02,02,Administrative Staff,Service Workers and Sellers,0,1,0,1
Graduate,87,1,124.0,117.6,20,0,11,12,15,1,10.933333333333334,Single,General Continent,Design and Creativity,1,02,02,01,Administrative Staff,Students,0,1,1,0
Enrolled,88,6,143.0,128.7,23,0,9,10,11,0,13.9,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,1,0
Enrolled,89,2,115.0,112.2,18,0,2,10,18,0,5.0,Single,Transfer and Change,Technology and Engineering,1,02,01,02,Unskilled Workers,Agricultural and Forestry Workers,1,1,1,0
Dropout,90,1,133.1,100.8,24,0,0,14,25,0,0.0,Single,Other,Health and Care,1,02,02,02,Administrative Staff,Armed Forces Professions,0,1,1,0
Graduate,91,2,133.1,105.0,21,0,12,12,12,0,13.75,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,Unskilled Workers,0,0,0,0
Dropout,92,1,133.1,100.0,26,0,2,12,13,1,6.0,Single,International,Agriculture and Environtment,1,02,02,02,Administrative Staff,Administrative Staff,0,1,0,0
Dropout,93,1,133.1,115.5,39,0,3,12,26,1,6.333333333333333,In Relationship,Other,Basic Education,1,01,01,00,Students,Students,0,1,0,0
Graduate,94,1,133.1,114.0,44,2,14,14,18,0,12.104166666666668,In Relationship,Other,Social Services and Management,0,02,01,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Enrolled,95,1,130.0,137.0,19,0,8,10,20,0,13.625,Single,International,Technology and Engineering,1,02,01,03,Unskilled Workers,Professionals and Specialists,0,1,1,0
Graduate,96,5,135.0,124.9,18,0,12,12,12,0,13.5,Single,General Continent,Social Services and Management,1,02,01,02,Service Workers and Sellers,Service Workers and Sellers,0,1,0,0
Graduate,97,5,132.0,120.3,18,0,15,15,16,0,14.11388888888889,Single,General Continent,Health and Care,1,02,01,01,"Skilled Workers in Industry, Construction, and Craftsmen","Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Enrolled,98,1,135.0,134.3,19,0,10,10,14,2,14.0,Single,General Continent,Health and Care,1,02,02,04,Unskilled Workers,Professionals and Specialists,0,1,0,0
Dropout,99,4,115.0,111.5,19,0,4,14,17,0,5.98,Single,General Continent,Health and Care,1,02,03,03,Professionals and Specialists,Professionals and Specialists,1,0,0,0
Dropout,100,1,130.0,128.8,21,11,13,19,26,0,13.1375,Single,Other,Health and Care,1,04,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,101,4,133.1,110.0,20,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,02,02,Unskilled Workers,Armed Forces Professions,0,1,0,0
Dropout,102,1,130.0,113.5,36,0,0,12,0,0,0.0,In Relationship,Other,Social Services and Management,0,02,01,01,Agricultural and Forestry Workers,Service Workers and Sellers,0,1,0,0
Graduate,103,1,133.1,160.0,43,23,31,31,33,1,14.431174089068826,In Relationship,Other,Agriculture and Environtment,1,01,01,01,Unskilled Workers,Agricultural and Forestry Workers,0,1,0,0
Dropout,104,1,123.0,117.4,19,0,0,12,0,0,0.0,Single,General Continent,Basic Education,1,02,02,02,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,105,1,130.0,122.2,20,9,21,21,23,0,12.636363636363637,Single,Transfer and Change,Design and Creativity,1,02,03,02,Professionals and Specialists,Installation and Machine Operators and Assembly Workers,1,1,0,0
Dropout,106,2,122.0,118.2,19,0,0,12,0,0,0.0,Single,General Continent,Social Services and Management,1,02,01,01,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Dropout,107,1,113.0,106.7,20,0,8,12,32,0,13.725,Single,General Continent,Health and Care,1,02,02,02,Administrative Staff,Administrative Staff,0,1,0,0
Dropout,108,5,111.0,108.2,20,2,11,14,19,0,12.783333333333333,Single,General Continent,Health and Care,1,02,03,05,Administrative Staff,Intermediate Level Technicians and Professions,0,1,0,0
Enrolled,109,2,133.1,107.0,20,0,9,14,22,0,12.333333333333332,Single,General Continent,Basic Education,1,02,02,02,Unskilled Workers,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,110,1,142.0,136.1,18,0,12,12,14,0,14.428571428571429,Single,General Continent,Social Services and Management,1,02,01,01,Agricultural and Forestry Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Enrolled,111,2,123.0,115.3,18,0,6,10,20,0,12.0,Single,General Continent,Social Services and Management,1,02,02,01,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,112,1,131.0,139.8,19,0,10,10,11,0,13.100000000000001,Single,General Continent,Health and Care,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,113,3,158.0,157.0,18,0,12,12,13,0,12.619047619047619,Single,General Continent,Social Services and Management,1,02,02,01,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Dropout,114,2,122.0,131.0,18,0,12,14,14,2,12.516666666666666,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Enrolled,115,1,130.0,100.0,20,0,13,14,18,0,12.308333333333334,Single,Transfer and Change,Health and Care,1,02,01,01,Unskilled Workers,Service Workers and Sellers,0,1,0,0
Enrolled,116,1,154.0,140.4,20,0,6,12,25,0,10.375,Single,General Continent,Social Services and Management,1,02,02,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Enrolled,117,1,120.0,113.4,20,0,6,10,21,0,10.5,Single,General Continent,Social Services and Management,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,118,2,140.0,137.0,18,0,10,10,18,2,12.271428571428572,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Graduate,119,1,127.0,121.8,18,0,10,10,10,0,13.3,Single,General Continent,Social Services and Management,1,02,04,02,Administrative Staff,Service Workers and Sellers,0,1,0,0
Dropout,120,1,133.1,131.0,21,0,5,12,24,0,11.0,Single,General Continent,Agriculture and Environtment,1,02,02,02,Administrative Staff,Service Workers and Sellers,0,1,0,0
Graduate,121,2,120.0,118.6,19,0,9,10,17,2,11.025,Single,General Continent,Social Services and Management,1,02,02,02,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Dropout,122,1,137.0,122.3,19,0,0,0,0,0,0.0,Single,General Continent,Design and Creativity,1,02,03,02,Professionals and Specialists,Unskilled Workers,0,1,0,0
Graduate,123,1,131.0,127.9,19,0,10,10,10,0,13.5,Single,General Continent,Social Services and Management,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,1
Graduate,124,1,130.0,121.3,19,0,12,12,28,0,13.183333333333334,Single,General Continent,Health and Care,1,02,02,01,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Dropout,125,6,122.0,117.1,19,0,5,14,12,0,6.05,Single,General Continent,Health and Care,1,02,02,02,Administrative Staff,Service Workers and Sellers,0,1,0,0
Graduate,126,1,160.0,160.0,20,2,11,12,24,0,13.972222222222223,Single,Other,Health and Care,1,03,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Enrolled,127,1,146.0,145.3,18,0,10,12,15,0,13.100000000000001,Single,General Continent,Basic Education,1,02,02,01,Unskilled Workers,Intermediate Level Technicians and Professions,0,1,0,1
Graduate,128,3,131.0,122.6,18,0,12,12,13,0,13.333333333333332,Single,General Continent,Social Services and Management,1,02,02,07,Service Workers and Sellers,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,129,6,132.0,128.0,19,0,15,15,16,0,14.239126984126983,Single,General Continent,Health and Care,1,02,02,01,Installation and Machine Operators and Assembly Workers,Unskilled Workers,0,1,0,0
Dropout,130,3,138.0,124.9,18,0,14,15,18,0,13.490178571428572,Single,General Continent,Health and Care,1,02,02,02,Service Workers and Sellers,Installation and Machine Operators and Assembly Workers,0,1,0,1
Graduate,131,2,130.0,123.7,18,0,12,12,12,0,12.666666666666668,Single,General Continent,Design and Creativity,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,132,4,126.0,120.1,19,0,10,10,12,0,13.5,Single,General Continent,Social Services and Management,1,02,02,02,Administrative Staff,Installation and Machine Operators and Assembly Workers,0,1,0,0
Dropout,133,6,148.0,131.7,19,0,5,14,15,0,7.0,Single,General Continent,Health and Care,1,02,02,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,0,1,0,0
Graduate,134,1,130.0,133.2,20,7,16,16,23,0,11.69047619047619,Single,Transfer and Change,Social Services and Management,1,02,01,01,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,0
Dropout,135,1,117.0,109.3,19,0,9,12,16,0,12.25,Single,General Continent,Social Services and Management,1,02,02,01,Intermediate Level Technicians and Professions,Unskilled Workers,1,0,0,1
Graduate,136,1,120.0,113.0,20,0,8,10,12,0,11.85,Single,General Continent,Social Services and Management,1,02,02,02,Service Workers and Sellers,Service Workers and Sellers,0,1,0,0
Graduate,137,1,153.0,157.9,18,0,12,12,12,0,14.833333333333334,Single,General Continent,Social Services and Management,1,02,02,02,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",1,1,0,1
Enrolled,138,2,117.0,112.1,20,0,12,15,18,0,13.04042857142857,Single,General Continent,Health and Care,1,02,02,02,Administrative Staff,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,139,1,178.0,174.7,18,0,15,15,16,0,17.35625,Single,General Continent,Health and Care,1,02,02,02,Administrative Staff,Installation and Machine Operators and Assembly Workers,0,1,0,0
Graduate,140,5,129.0,128.8,19,0,12,14,14,0,12.666666666666666,Single,General Continent,Health and Care,1,02,01,01,Unskilled Workers,Unskilled Workers,0,1,0,0
Graduate,141,6,116.0,110.1,19,0,11,12,18,0,12.333333333333332,Single,General Continent,Social Services and Management,1,02,02,02,Administrative Staff,Administrative Staff,0,1,0,1
Enrolled,142,1,99.0,99.7,22,0,0,10,15,0,0.0,Single,Transfer and Change,Social Services and Management,1,02,03,02,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,1,0,0,0
Graduate,143,3,135.0,121.0,19,0,12,12,13,0,11.416666666666668,Single,General Continent,Social Services and Management,1,02,02,01,Unskilled Workers,Armed Forces Professions,0,1,0,1
Graduate,144,3,141.0,131.7,19,0,15,15,21,0,12.968125,Single,General Continent,Health and Care,1,02,02,02,Unskilled Workers,"Skilled Workers in Industry, Construction, and Craftsmen",0,1,0,1
Graduate,145,5,132.0,119.1,19,0,10,12,19,0,11.4,Single,General Continent,Basic Education,1,02,01,01,Service Workers and Sellers,Agricultural and Forestry Workers,0,1,0,1
Dropout,146,4,132.0,124.7,19,0,0,10,20,0,0.0,Single,General Continent,Agriculture and Environtment,1,02,02,02,Unskilled Workers,Unskilled Workers,0,1,0,0
